"","wouldvote","peacefactor","peace_formerenemies","peace_jjindiv","peace_jjtribes","gos_soldier_execute","directlyharmed","age","farmer_dar","herder_dar","pastvoted","hhsize_darfur","village","female"
"649",0,0.202008432366002,0,0,0,0,0,40,1,0,1,9,"Furawiya",0
"650",0,0.592909987627917,1,0,1,1,0,25,1,0,1,40,"Furawiya",1
"652",0,0.202008432366002,0,0,0,0,0,45,1,1,1,5,"Furawiya",1
"653",1,0,0,0,0,1,1,90,1,1,0,22,"Furawiya",0
"654",1,0.706830720721758,0,1,1,0,1,55,1,0,1,17,"Furawiya",0
"658",0,0.202008432366002,0,0,0,0,0,27,1,0,0,22,"Furawiya",1
"660",1,1,1,1,1,0,1,20,1,0,1,8,"Furawiya",0
"661",1,0,0,0,0,1,1,26,1,0,1,3,"Furawiya",0
"663",1,0.794918419993918,1,0,1,0,0,39,0,0,0,12,"Furawiya",0
"664",0,0.504822288355756,0,1,1,1,1,18,0,0,1,18,"Furawiya",0
"667",0,0,0,0,0,1,0,30,1,0,1,7,"Furo",1
"671",1,0.202008432366002,0,0,0,0,1,48,1,0,0,8,"Gadir",0
"672",0,0.293169279278242,1,0,0,1,1,30,1,0,1,11,"Gadir",0
"673",1,0.202008432366002,0,0,0,0,1,52,1,0,0,17,"Galala",0
"675",1,0.797991567633998,1,1,1,1,0,28,1,0,1,6,"Garady",1
"679",0,0,0,0,0,1,0,37,1,0,1,21,"Garsila",0
"680",1,0.794918419993918,1,0,1,0,1,33,1,0,1,3,"Garsila",0
"683",1,0.794918419993918,1,0,1,0,1,76,1,1,0,16,"Garsila",0
"685",0,0,0,0,0,1,1,22,1,0,0,10,"Gasheeb",0
"686",0,0,0,0,0,1,0,50,1,1,1,7,"Gasimba",0
"687",0,1,1,1,1,0,0,37,1,0,0,7,"Gasimba",1
"688",0,0,0,0,0,1,1,25,1,0,0,10,"Gasmina",1
"689",0,0,0,0,0,1,1,30,1,0,0,15,"Gebeesh",1
"690",0,0.495177711644244,1,0,0,0,1,40,1,0,1,9,"Gebeesh",1
"691",0,0,0,0,0,1,0,25,1,0,1,30,"Gebeesh",1
"692",0,1,1,1,1,0,1,37,1,0,1,8,"Gedernii",0
"693",0,0.293169279278242,1,0,0,1,1,40,1,0,0,8,"Gemana",0
"694",0,0,0,0,0,1,0,24,1,0,0,14,"Gemena",1
"695",0,0,0,0,0,1,0,36,1,0,0,5,"Gemena",1
"697",0,0.794918419993918,1,0,1,0,0,45,1,0,1,12,"Ghibish",0
"699",1,0.592909987627917,1,0,1,1,0,18,1,1,1,6,"Ghoz Doggy",0
"701",0,0,0,0,0,1,0,27,1,0,1,3,"Ginfara",1
"704",1,1,1,1,1,0,0,27,0,0,0,8,"Girgida",0
"706",1,0.501749140715677,0,0,1,0,0,65,1,0,0,12,"Girgida",0
"708",0,0.592909987627917,1,0,1,1,0,35,1,0,1,7,"Girgida",1
"711",0,0,0,0,0,1,0,50,1,0,1,8,"Girgida",1
"714",0,0,0,0,0,1,1,20,0,0,0,9,"Girgida",1
"715",0,0.407090012372083,0,1,0,0,0,38,0,0,1,9,"Girgida",0
"716",0,0,0,0,0,1,0,25,1,1,1,4,"Girgida",1
"717",0,0.501749140715677,0,0,1,0,0,80,1,1,0,26,"Girgida",0
"719",0,1,1,1,1,0,0,36,1,0,0,6,"Girgida",1
"720",0,0,0,0,0,1,0,25,0,0,0,8,"Girgida",0
"721",0,0,0,0,0,1,0,45,1,1,1,8,"Girgida",1
"723",0,0.293169279278242,1,0,0,1,1,25,1,1,0,12,"Girgida",1
"724",0,0.293169279278242,1,0,0,1,1,38,1,0,0,6,"Gobi",1
"728",1,0.293169279278242,1,0,0,1,0,35,1,0,0,4,"Gobi",0
"729",0,1,1,1,1,0,1,40,1,0,0,8,"Gobi",0
"730",0,0,0,0,0,1,0,60,1,0,0,5,"Gobi",0
"734",0,0.202008432366002,0,0,0,0,1,31,0,0,1,12,"Gobi",0
"735",1,0,0,0,0,1,0,45,1,1,0,15,"Gobi",0
"736",1,0.202008432366002,0,0,0,0,1,23,0,0,1,6,"Gobi",0
"744",1,0,0,0,0,1,0,45,1,0,1,7,"Gobi",0
"746",0,0,0,0,0,1,0,25,1,0,1,7,"Gobi",1
"748",1,0,0,0,0,1,1,61,1,0,0,12,"Gobi",0
"753",0,0,0,0,0,1,0,48,1,0,0,11,"Gobi",0
"754",0,0.293169279278242,1,0,0,1,1,34,1,0,1,4,"Godambi",0
"756",1,1,1,1,1,0,1,60,1,0,1,7,"Gogar",0
"757",0,0,0,0,0,1,0,24,1,1,0,15,"Goji",1
"761",0,0,0,0,0,1,0,37,0,0,1,8,"Gondilat",0
"762",0,0,0,0,0,1,1,25,1,0,1,7,"Gondilat",1
"763",0,0,0,0,0,1,0,19,1,0,0,3,"Gondilat",1
"764",0,0.592909987627917,1,0,1,1,1,27,0,0,1,4,"Gondilat",1
"766",1,0.293169279278242,1,0,0,1,0,27,0,0,0,7,"Gondilat",0
"769",0,0.794918419993918,1,0,1,0,1,30,1,0,0,10,"Gono",1
"770",0,0,0,0,0,1,0,26,1,0,1,4,"Gono",0
"771",0,0,0,0,0,1,1,25,1,1,1,9,"Goraba",1
"772",0,0.202008432366002,0,0,0,0,1,40,0,0,0,5,"Goraba",1
"773",0,0,0,0,0,1,0,35,1,0,1,13,"Gorboki",1
"774",1,0.504822288355756,0,1,1,1,1,42,0,0,1,15,"Gorboki",0
"775",0,0.299740708349675,0,0,1,1,0,25,1,0,1,9,"Gorboki",0
"776",1,0.293169279278242,1,0,0,1,0,36,1,1,1,13,"Gorboki",0
"778",1,0.794918419993918,1,0,1,0,0,59,1,1,0,17,"Gorboki",0
"779",0,0,0,0,0,1,0,25,1,0,1,8,"Goroku",1
"780",0,0.592909987627917,1,0,1,1,0,19,1,1,1,8,"Gosimba",1
"781",1,0.794918419993918,1,0,1,0,1,38,1,0,1,11,"Goslayat",0
"782",0,0.498250859284323,1,1,0,1,0,18,1,0,1,7,"Goslayat",1
"783",0,1,1,1,1,0,0,50,1,0,0,8,"Gouba",0
"785",0,0.202008432366002,0,0,0,0,0,19,0,0,1,8,"Goz Bagar",0
"786",1,1,1,1,1,0,0,46,1,0,0,21,"Goz Bagar",0
"787",0,0,0,0,0,1,0,33,1,0,0,6,"Goz Bagar",1
"788",0,0,0,0,0,1,0,28,1,0,1,7,"Goz Beida",1
"789",0,0.495177711644244,1,0,0,0,0,40,1,0,0,4,"Goz Beida",1
"791",0,0,0,0,0,1,0,30,1,0,1,6,"Goz Deega",1
"792",0,0.202008432366002,0,0,0,0,0,35,1,0,0,7,"Goz Deega",1
"793",0,0.495177711644244,1,0,0,0,0,35,1,0,1,4,"Goz Deega",1
"795",1,0.202008432366002,0,0,0,0,0,33,1,0,0,4,"Goz Deega",1
"796",0,0,0,0,0,1,0,70,1,0,1,6,"Goz Deega",1
"797",0,0,0,0,0,1,0,35,1,0,0,7,"Goz Deega",1
"798",0,0.797991567633998,1,1,1,1,1,22,0,0,1,6,"Goz Gabor",1
"800",1,0.495177711644244,1,0,0,0,0,30,0,0,1,8,"Goz Mono",0
"801",1,0.592909987627917,1,0,1,1,1,45,1,1,0,12,"Goz Mono",0
"806",0,0,0,0,0,1,0,67,1,0,1,7,"Gttara",0
"809",1,0.592909987627917,1,0,1,1,0,22,1,0,0,18,"Gubbey",0
"810",1,0.293169279278242,1,0,0,1,0,56,1,0,1,12,"Gubbey",0
"814",0,0.202008432366002,0,0,0,0,0,23,0,0,1,5,"Habila",0
"816",1,0,0,0,0,1,1,24,1,0,1,1,"Habila",0
"817",1,1,1,1,1,0,1,38,1,0,0,7,"Habila",0
"821",0,0,0,0,0,1,0,35,1,0,1,6,"Habila",1
"823",0,0,0,0,0,1,0,27,1,0,1,4,"Habila",1
"825",0,1,1,1,1,0,0,47,0,0,0,9,"Habila",0
"828",0,0.202008432366002,0,0,0,0,1,18,0,0,1,8,"Habila",0
"829",1,0.202008432366002,0,0,0,0,1,45,1,0,0,15,"Habila",0
"830",1,1,1,1,1,0,1,36,1,0,1,4,"Habshaba",0
"832",0,0.501749140715677,0,0,1,0,1,31,0,0,0,5,"Hadjer Suleiman",0
"834",0,0.202008432366002,0,0,0,0,1,25,1,0,1,6,"Hadjer Suleiman",1
"836",1,0.202008432366002,0,0,0,0,0,26,1,0,1,10,"Hai Jadid",0
"838",0,0,0,0,0,1,0,25,1,0,1,8,"Hajar Kharkhita",0
"839",1,0.299740708349675,0,0,1,1,1,18,1,0,1,7,"Hajar Seleman",0
"840",1,1,1,1,1,0,0,33,1,0,0,11,"Hajar farkhabta",0
"841",1,0,0,0,0,1,1,24,1,0,1,5,"Hajilija",0
"842",0,0.293169279278242,1,0,0,1,1,35,1,0,0,9,"Haleila",1
"843",0,1,1,1,1,0,1,34,0,0,0,7,"Haleila",0
"847",0,0.495177711644244,1,0,0,0,1,35,1,0,1,6,"Hara",1
"849",0,0,0,0,0,1,1,45,1,0,1,6,"Harkow",1
"852",1,0.495177711644244,1,0,0,0,0,47,1,0,0,8,"Hashaba",0
"854",1,1,1,1,1,0,0,52,1,0,0,10,"Hashaba",0
"855",0,0,0,0,0,1,0,53,1,0,1,5,"Haskanita",0
"857",1,0.293169279278242,1,0,0,1,0,47,1,0,0,18,"Haskanita",0
"861",1,0.202008432366002,0,0,0,0,1,52,1,0,1,12,"Hee Al Gameena",0
"862",0,0,0,0,0,1,1,28,1,1,1,10,"Heemada",0
"864",0,0.202008432366002,0,0,0,0,0,26,1,0,0,4,"Hijileja",1
"866",0,0,0,0,0,1,0,30,1,0,0,11,"Hila Haraz",1
"867",0,1,1,1,1,0,0,49,1,0,0,9,"Hila Jadad",0
"869",1,0,0,0,0,1,0,28,1,0,0,8,"Hila Kaid",1
"870",0,0.202008432366002,0,0,0,0,1,29,1,1,1,4,"Hila Mara",1
"873",0,0.202008432366002,0,0,0,0,0,58,1,0,0,5,"Hila Zaghawa",0
"874",1,0,0,0,0,1,0,70,0,0,0,9,"Hila Zaghawa",0
"875",1,1,1,1,1,0,0,26,0,0,1,6,"Hila Zaghawa",0
"876",1,0,0,0,0,1,0,27,1,0,1,4,"Hila Zaghawa",0
"878",0,0,0,0,0,1,1,55,1,0,1,8,"Hila Zaghawa",0
"880",0,0,0,0,0,1,1,30,1,0,1,7,"Hila Zaghawa",1
"882",0,0,0,0,0,1,1,35,1,0,1,6,"Hila Zaghawa",0
"884",1,0,0,0,0,1,0,20,1,0,1,8,"Hila Zaghawa",0
"885",0,0.202008432366002,0,0,0,0,0,45,0,0,1,14,"Hilaila",0
"886",1,0.592909987627917,1,0,1,1,1,25,1,1,1,7,"Hilaila",0
"888",0,0.202008432366002,0,0,0,0,0,25,1,0,1,5,"Hilaila",1
"889",0,0,0,0,0,1,1,30,1,0,1,30,"Hilaila",1
"890",0,0,0,0,0,1,1,40,1,0,1,10,"Humeida",1
"891",0,0.797991567633998,1,1,1,1,0,24,1,0,1,3,"Hunu",1
"893",1,0.504822288355756,0,1,1,1,0,25,1,0,1,5,"Hyja Gergeta",0
"894",0,0.797991567633998,1,1,1,1,0,26,1,0,0,20,"Id Al Kheir",1
"897",0,0,0,0,0,1,1,18,1,0,1,10,"Jebel",1
"900",1,0.794918419993918,1,0,1,0,1,77,1,1,0,18,"Jadara",0
"903",1,0.495177711644244,1,0,0,0,0,52,1,0,1,11,"Jago",1
"904",0,0.293169279278242,1,0,0,1,0,37,0,0,1,9,"Jaker",1
"905",1,0,0,0,0,1,1,40,1,0,0,9,"Jala",0
"906",0,0,0,0,0,1,1,43,1,0,1,7,"Jamti",1
"907",0,0,0,0,0,1,0,22,1,0,1,5,"Janga",0
"909",0,0,0,0,0,1,0,42,1,0,1,5,"Janga",1
"912",0,0.205081580006082,0,1,0,1,0,35,0,0,0,5,"Jarko",0
"914",1,0.202008432366002,0,0,0,0,0,31,1,0,1,4,"Jebel",1
"915",0,0,0,0,0,1,0,28,1,1,1,4,"Jebel Amr",1
"916",0,0,0,0,0,1,0,40,1,1,1,11,"Jebel Jozo",0
"917",1,0.504822288355756,0,1,1,1,0,29,1,0,0,6,"Jebel Moon",1
"918",1,0,0,0,0,1,0,70,1,0,0,8,"Jebel Moon",1
"919",1,0,0,0,0,1,1,35,1,0,0,9,"Jebel Moon",1
"921",0,0,0,0,0,1,0,34,1,0,1,7,"Jebel Moon",1
"922",1,0.495177711644244,1,0,0,0,0,35,1,1,0,5,"Jebel Moon",0
"923",0,0,0,0,0,1,1,38,1,0,1,9,"Jebel Moon",1
"924",1,1,1,1,1,0,1,22,1,0,0,9,"Jebel Moon",0
"925",1,0,0,0,0,1,0,40,1,0,0,15,"Jebel Moon",0
"926",1,0,0,0,0,1,0,52,1,0,1,16,"Jebel Moon",0
"928",1,0.495177711644244,1,0,0,0,0,50,1,0,0,13,"Jebel Moon",0
"931",1,0.794918419993918,1,0,1,0,1,62,1,1,1,14,"Jeerjeera",0
"933",0,0,0,0,0,1,1,32,1,0,1,15,"Jebel Moon",1
"934",1,0.794918419993918,1,0,1,0,0,20,1,0,1,8,"Jendaly",1
"935",0,0,0,0,0,1,1,45,1,0,0,24,"Jebel Moon",1
"936",0,0,0,0,0,1,0,86,1,0,0,10,"Jereko",0
"937",0,0,0,0,0,1,0,60,1,0,1,4,"Jereko",1
"939",1,0.202008432366002,0,0,0,0,0,33,1,0,1,5,"Jimi",1
"940",0,0,0,0,0,1,0,19,1,0,1,1,"Jimi",1
"941",0,0.202008432366002,0,0,0,0,0,45,1,0,0,4,"Jimi",1
"942",1,0.592909987627917,1,0,1,1,1,73,1,0,0,16,"Jirjira",0
"943",0,0,0,0,0,1,0,54,1,0,1,7,"Jirjira",1
"944",1,0.797991567633998,1,1,1,1,0,29,1,0,0,4,"Jo Yat",0
"948",0,0,0,0,0,1,1,28,1,0,1,11,"Jorbi",1
"949",1,0.797991567633998,1,1,1,1,0,35,1,0,0,7,"Jorbogy",0
"950",1,0.299740708349675,0,0,1,1,0,41,0,0,1,9,"Jorbogy",0
"951",0,0.797991567633998,1,1,1,1,0,63,1,0,1,20,"Jorbogy",0
"953",0,0.495177711644244,1,0,0,0,0,18,1,0,1,2,"Joyo",1
"954",0,0,0,0,0,1,1,45,1,0,1,12,"Jozdo",1
"955",0,0,0,0,0,1,0,27,1,0,1,7,"Jumaira",1
"957",0,0.592909987627917,1,0,1,1,0,61,1,1,1,9,"Jurjura",1
"958",0,0.202008432366002,0,0,0,0,0,27,1,0,1,9,"Kabar",1
"959",0,0,0,0,0,1,0,50,0,0,0,10,"Kabar",0
"960",0,0,0,0,0,1,0,27,1,0,0,9,"Kabar",1
"961",0,0,0,0,0,1,1,60,1,0,0,12,"Kabar",1
"962",1,0.495177711644244,1,0,0,0,0,30,1,0,0,17,"Kabar",0
"964",1,0,0,0,0,1,0,46,1,0,0,12,"Kabar",1
"965",0,0,0,0,0,1,1,60,1,0,0,2,"Kabar",0
"966",1,0.794918419993918,1,0,1,0,0,32,0,0,1,15,"Kabar",0
"967",0,0,0,0,0,1,1,18,0,0,1,9,"Kabar",1
"969",0,0.202008432366002,0,0,0,0,1,32,1,0,0,3,"Kabar",0
"970",0,0.202008432366002,0,0,0,0,0,50,1,0,1,10,"Kabar",1
"971",1,0,0,0,0,1,0,58,1,0,1,10,"Kabar",0
"973",0,0,0,0,0,1,0,85,1,0,1,7,"Kabar",1
"974",0,0.202008432366002,0,0,0,0,1,20,1,0,1,18,"Kabar",1
"975",1,0,0,0,0,1,1,50,1,0,1,6,"Kabar",1
"976",1,0.794918419993918,1,0,1,0,1,27,0,0,1,9,"Kabar",0
"977",1,0,0,0,0,1,0,35,1,0,0,9,"Kabar",1
"978",0,0,0,0,0,1,0,25,1,0,1,6,"Kabar",1
"980",0,0,0,0,0,1,0,21,0,0,0,8,"Kabar",1
"981",0,0,0,0,0,1,1,35,1,0,1,8,"Kabar",1
"982",0,0.293169279278242,1,0,0,1,0,18,1,0,1,10,"Kabar",0
"983",0,0,0,0,0,1,1,46,1,0,1,7,"Kabar",0
"984",1,0,0,0,0,1,0,65,1,0,1,7,"Kabar",0
"988",1,0.202008432366002,0,0,0,0,0,69,1,0,0,11,"Kabar",0
"990",0,0,0,0,0,1,1,60,1,0,0,11,"Kabar",0
"991",1,0.202008432366002,0,0,0,0,0,20,0,0,1,10,"Kabar",0
"992",1,1,1,1,1,0,1,42,1,0,0,21,"Kabar",0
"994",1,0,0,0,0,1,1,32,1,0,1,1,"Kabar",0
"996",1,0.202008432366002,0,0,0,0,1,66,1,1,1,5,"Kabar",0
"997",0,0.202008432366002,0,0,0,0,0,24,1,0,1,8,"Kabar",1
"998",0,0.299740708349675,0,0,1,1,0,23,1,0,1,3,"Kabar",1
"1000",0,0.495177711644244,1,0,0,0,1,30,1,0,1,5,"Kabar",1
"1001",1,0,0,0,0,1,0,47,1,0,1,7,"Kabar",1
"1002",0,0.495177711644244,1,0,0,0,1,24,1,0,1,8,"Kabar",1
"1005",0,1,1,1,1,0,1,27,1,0,1,5,"Kabar",1
"1006",1,0.794918419993918,1,0,1,0,0,35,1,0,1,6,"Kaberka",1
"1011",1,0,0,0,0,1,0,67,1,0,1,18,"Kabkabia",0
"1013",1,0.592909987627917,1,0,1,1,1,41,1,1,1,7,"Kabkabia",0
"1014",0,0.202008432366002,0,0,0,0,1,30,1,0,1,20,"Kabkabia",1
"1015",1,0.293169279278242,1,0,0,1,1,40,1,0,1,7,"Kabkabia",0
"1018",0,0.592909987627917,1,0,1,1,0,26,1,0,1,12,"Kabkabia",1
"1020",0,0.205081580006082,0,1,0,1,1,43,1,0,0,11,"Kabkabia",0
"1021",0,0,0,0,0,1,0,35,1,0,0,11,"Kabkabia",1
"1022",0,1,1,1,1,0,0,37,1,0,1,6,"Kabkabia",0
"1025",0,0.504822288355756,0,1,1,1,0,45,0,0,0,10,"Kabugo",0
"1027",0,0.202008432366002,0,0,0,0,0,45,1,0,1,7,"Kadia",1
"1028",0,0,0,0,0,1,1,37,1,0,0,5,"Kadomi",1
"1029",1,0.299740708349675,0,0,1,1,1,30,1,0,1,27,"Kadora",0
"1031",1,0.293169279278242,1,0,0,1,1,30,1,0,1,8,"Kagio",0
"1032",0,0.202008432366002,0,0,0,0,1,45,1,1,0,7,"Kagu",1
"1033",1,0.797991567633998,1,1,1,1,0,36,1,0,1,14,"Kagy Mangy",0
"1035",1,0,0,0,0,1,1,48,1,0,0,11,"Kair",0
"1036",1,0,0,0,0,1,0,75,1,0,0,8,"Kajra",0
"1037",0,0.495177711644244,1,0,0,0,0,21,0,0,1,6,"Kajabara",0
"1038",1,0.293169279278242,1,0,0,1,0,30,1,1,1,8,"Kajawa",0
"1039",0,0.202008432366002,0,0,0,0,0,40,1,0,0,7,"Kahra",1
"1041",1,0.202008432366002,0,0,0,0,0,45,1,0,0,9,"Kalkig",1
"1042",1,0.592909987627917,1,0,1,1,1,37,1,1,1,8,"Kaltouma",0
"1043",0,0.797991567633998,1,1,1,1,1,35,0,0,1,4,"Kamo",0
"1047",0,0.592909987627917,1,0,1,1,1,36,0,1,1,16,"Kamo",0
"1049",0,0.299740708349675,0,0,1,1,0,80,1,0,1,4,"Kanda indina",1
"1050",0,0,0,0,0,1,1,32,1,0,1,14,"Kandaly",1
"1051",0,0,0,0,0,1,1,45,0,0,0,7,"Kandaro",0
"1052",1,0,0,0,0,1,1,30,1,1,1,9,"Kaneya",1
"1053",0,0,0,0,0,1,0,20,1,0,1,8,"Kongo",1
"1056",0,0.797991567633998,1,1,1,1,1,30,1,0,0,5,"Kongo Hazara",0
"1057",0,0,0,0,0,1,0,35,1,0,0,9,"Kanour",1
"1059",0,0.202008432366002,0,0,0,0,1,28,1,0,1,7,"Kapar",1
"1060",1,0,0,0,0,1,0,20,1,0,0,1,"Kar Simba",0
"1061",1,0.293169279278242,1,0,0,1,1,35,1,0,1,7,"Karbanga",0
"1062",0,0,0,0,0,1,0,45,1,1,1,7,"Karbanga",1
"1063",1,1,1,1,1,0,1,38,1,1,0,5,"Kareye",0
"1064",1,1,1,1,1,0,1,40,1,0,1,12,"Kareye",0
"1065",0,0,0,0,0,1,0,55,1,0,1,8,"Karia",1
"1066",0,0,0,0,0,1,1,64,1,0,1,11,"Karia",0
"1071",1,0.501749140715677,0,0,1,0,0,55,0,0,0,14,"Karja",0
"1072",0,1,1,1,1,0,0,73,1,0,1,10,"Karja",0
"1073",1,0.293169279278242,1,0,0,1,1,33,1,0,1,4,"Karja",0
"1076",0,0.202008432366002,0,0,0,0,0,24,1,1,0,7,"Karnita",1
"1078",1,0.592909987627917,1,0,1,1,0,59,0,0,1,8,"Karnuwa",0
"1082",0,1,1,1,1,0,0,27,1,0,1,8,"Kary",0
"1086",0,0.202008432366002,0,0,0,0,0,20,1,0,1,9,"Kashkash",0
"1087",0,0.202008432366002,0,0,0,0,0,37,1,0,1,2,"Kasia",0
"1089",1,1,1,1,1,0,1,41,0,0,0,8,"Kasia",0
"1091",0,1,1,1,1,0,0,28,1,1,1,3,"Kasia",0
"1092",0,0.202008432366002,0,0,0,0,0,38,1,1,0,3,"Kasia",1
"1095",0,1,1,1,1,0,1,27,1,1,1,6,"Kati",1
"1097",1,0.202008432366002,0,0,0,0,1,40,1,1,0,7,"Kawayna",1
"1098",1,0.706830720721758,0,1,1,0,0,26,0,0,0,7,"Kaya",0
"1099",1,0.202008432366002,0,0,0,0,0,65,1,0,1,20,"Kaya",0
"1101",0,0,0,0,0,1,0,35,1,1,1,4,"Kayo",1
"1102",1,0.592909987627917,1,0,1,1,0,40,1,0,1,6,"Kdumli",0
"1103",1,0,0,0,0,1,0,20,1,0,1,1,"Keajo",0
"1104",0,0.293169279278242,1,0,0,1,0,35,1,0,0,8,"Keajo",1
"1105",1,0.794918419993918,1,0,1,0,0,27,1,1,0,6,"Keiga",0
"1106",0,0,0,0,0,1,0,35,0,0,0,4,"Keiga",1
"1108",0,0,0,0,0,1,1,57,1,0,0,12,"Kengu",1
"1110",1,0,0,0,0,1,0,31,0,0,1,7,"Kesi",0
"1112",0,0.293169279278242,1,0,0,1,1,40,1,0,1,16,"Khabeesh",0
"1113",1,0.495177711644244,1,0,0,0,0,43,1,0,1,11,"Khabeesh",0
"1115",0,0.299740708349675,0,0,1,1,0,30,1,1,1,4,"Khabir Waja",1
"1117",1,0,0,0,0,1,1,35,1,0,0,9,"Kharsha",0
"1118",0,0,0,0,0,1,0,23,1,0,0,10,"Khary",0
"1121",0,0,0,0,0,1,0,20,1,1,1,7,"Khazan Abu Jidad",0
"1122",1,0.592909987627917,1,0,1,1,0,50,1,0,1,10,"Khazan Abu Jidad",0
"1123",0,0.504822288355756,0,1,1,1,0,51,1,0,1,13,"Khazan Abu Jidad",0
"1124",0,0.202008432366002,0,0,0,0,1,75,0,0,1,6,"Khazan Urshe",1
"1126",0,0,0,0,0,1,0,51,1,0,1,8,"Khabeesh",0
"1127",1,0.293169279278242,1,0,0,1,0,19,0,0,1,7,"Khibish",0
"1128",0,0,0,0,0,1,1,46,1,1,0,10,"Khosa",1
"1130",0,0,0,0,0,1,0,20,0,0,1,10,"Khurbaranga",1
"1131",1,0,0,0,0,1,0,35,1,1,1,6,"Khurbaranga",1
"1132",0,0.592909987627917,1,0,1,1,1,33,0,0,1,3,"Khurbaranga",0
"1133",0,0.794918419993918,1,0,1,0,1,22,1,1,1,4,"Khurbaranga",1
"1134",1,0.501749140715677,0,0,1,0,0,45,0,0,1,9,"Kibiry",0
"1135",0,0,0,0,0,1,1,25,1,0,1,3,"Kibjo",1
"1137",0,0,0,0,0,1,1,50,1,0,0,12,"Kiego",1
"1139",0,0.592909987627917,1,0,1,1,0,25,1,0,1,10,"Kigulu",0
"1140",0,0,0,0,0,1,0,31,1,0,0,7,"Kigy",1
"1141",0,1,1,1,1,0,0,26,0,0,1,5,"Kinding",1
"1142",1,0,0,0,0,1,0,36,1,0,1,5,"Kongo",0
"1144",1,0,0,0,0,1,0,29,1,0,1,3,"Kirti",0
"1146",1,0.202008432366002,0,0,0,0,0,73,1,0,1,5,"Kobar",0
"1147",1,0.797991567633998,1,1,1,1,1,35,1,0,0,4,"Kobar",0
"1148",0,0.202008432366002,0,0,0,0,1,26,1,0,1,8,"Kobsaka",1
"1149",1,0.794918419993918,1,0,1,0,0,23,1,0,1,4,"Kobsaka",0
"1151",0,0,0,0,0,1,0,27,1,0,0,2,"Kodima",0
"1153",0,0.592909987627917,1,0,1,1,1,24,1,0,1,18,"Kutum",1
"1154",0,0,0,0,0,1,0,26,1,0,0,5,"Kutum",1
"1156",0,1,1,1,1,0,0,20,0,0,1,20,"Kogi",0
"1157",1,0,0,0,0,1,0,29,1,0,1,4,"Kogi",1
"1160",0,0.592909987627917,1,0,1,1,1,46,1,0,0,5,"Kojong Kasia",0
"1165",0,0,0,0,0,1,0,42,1,0,1,11,"Kokona",1
"1166",1,0.592909987627917,1,0,1,1,1,47,0,0,1,13,"Kokona",0
"1169",1,0,0,0,0,1,0,18,1,0,1,7,"Kondobe",0
"1172",0,0,0,0,0,1,0,70,1,0,1,13,"Kongo",1
"1173",0,0.293169279278242,1,0,0,1,0,19,1,0,1,6,"Kongo",0
"1174",0,0.202008432366002,0,0,0,0,0,25,1,0,1,6,"Kongo",1
"1175",0,0,0,0,0,1,1,27,1,0,1,4,"Kongo",1
"1179",0,0.293169279278242,1,0,0,1,1,60,1,1,1,5,"Kongo",1
"1181",0,0,0,0,0,1,1,19,0,0,1,8,"Kongo",0
"1182",1,0,0,0,0,1,0,26,0,0,1,8,"Kongo",0
"1184",1,0,0,0,0,1,1,50,1,0,0,13,"Kongo",0
"1185",1,0.794918419993918,1,0,1,0,1,31,0,0,0,3,"Kongo",0
"1196",1,0,0,0,0,1,1,21,0,0,1,19,"Kongo",0
"1197",1,0,0,0,0,1,1,22,1,0,1,9,"Kongo",0
"1198",0,0,0,0,0,1,0,20,1,0,1,7,"Kongo",1
"1200",0,0.293169279278242,1,0,0,1,0,19,0,0,1,7,"Kongo",1
"1201",1,0.202008432366002,0,0,0,0,1,35,1,0,1,8,"Kongo",1
"1202",1,0.202008432366002,0,0,0,0,0,35,1,0,1,5,"Kongo",0
"1203",1,0.592909987627917,1,0,1,1,0,40,1,0,1,11,"Kooba",0
"1207",0,0,0,0,0,1,0,26,1,0,1,3,"Korika",1
"1209",0,1,1,1,1,0,0,21,1,0,1,7,"Kormi",0
"1214",0,0.205081580006082,0,1,0,1,0,20,0,0,1,6,"Kornoy",1
"1215",0,0.202008432366002,0,0,0,0,0,65,1,0,0,16,"Kornoy",0
"1216",0,0.797991567633998,1,1,1,1,1,38,0,0,1,22,"Kornoy",1
"1218",0,0.592909987627917,1,0,1,1,0,28,1,1,0,4,"Kornoy",1
"1219",1,1,1,1,1,0,1,39,1,0,1,2,"Kornoy",0
"1222",0,0.202008432366002,0,0,0,0,0,20,1,0,1,12,"Kornoy",0
"1224",0,0,0,0,0,1,1,30,1,0,1,4,"Kornoy",1
"1226",1,0,0,0,0,1,0,40,1,0,1,9,"Kornoy",1
"1227",0,0,0,0,0,1,1,30,1,1,1,4,"Kornoy",1
"1228",0,0.797991567633998,1,1,1,1,0,18,0,0,1,8,"Kornoy",1
"1232",0,0,0,0,0,1,0,37,1,1,1,9,"Kornoy",0
"1233",1,0.501749140715677,0,0,1,0,0,27,0,0,1,5,"Kornoy",0
"1234",1,0.797991567633998,1,1,1,1,0,39,1,0,1,27,"Kornoy",0
"1235",0,1,1,1,1,0,0,39,1,0,1,17,"Kornoy",0
"1236",0,0.592909987627917,1,0,1,1,0,20,0,0,1,10,"Kornoy",1
"1237",1,1,1,1,1,0,1,46,1,1,1,5,"Kornoy",0
"1238",1,0.794918419993918,1,0,1,0,1,35,1,1,0,7,"Kornoy",0
